candidate_id,architecture,context_length,learning_rate,hidden_dims,dropout,market_weight,sector_weight,idio_weight,best_epoch,val_selection_score,val_total_nll,val_mse,val_market_mse,val_sector_mse,val_idio_mse,val_coverage_68,val_coverage_95,val_standardized_residual_mean,val_standardized_residual_std,n_parameters,training_seconds,n_train,n_validation,checkpoint,scaler_path,history_path
12,gru_256_128,10,0.0005,"[256, 128]",0.2,0.2,0.5,0.3,3,0.43066599567731223,0.45905447999636334,0.9283217628796895,0.713622518380483,0.9514030575752258,0.9123969078063965,0.7504781484603882,0.9428961793581645,-0.00036067372808853786,1.0086928288141885,408954,79.80735459993593,2023,240,..\models\autoregressive\candidates\candidate_012.pt,..\models\autoregressive\candidates\candidate_012_scaler.joblib,..\models\autoregressive\histories\candidate_012.csv
11,gru_128_128,60,0.0005,"[128, 128]",0.1,0.2,0.5,0.3,3,0.43165356318155923,0.4596914291381836,0.9286127289136251,0.7046724557876587,0.9505085468292236,0.9141814907391866,0.7619535525639852,0.9482923547426859,0.0020025366606811683,0.9805087765057882,188154,286.2515247000847,1773,240,..\models\autoregressive\candidates\candidate_011.pt,..\models\autoregressive\candidates\candidate_011_scaler.joblib,..\models\autoregressive\histories\candidate_011.csv
4,gru_128,10,0.0005,[128],0.0,0.2,0.5,0.3,5,0.431679896513621,0.46243638594945274,0.9297302762667338,0.7081779917081197,0.9545758883158366,0.9122697949409485,0.7581284403800964,0.9450136542320251,-0.003604923145030625,0.9937361637751262,89082,7.773467099992558,2023,240,..\models\autoregressive\candidates\candidate_004.pt,..\models\autoregressive\candidates\candidate_004_scaler.joblib,..\models\autoregressive\histories\candidate_004.csv
9,gru_128_128,20,0.0005,"[128, 128]",0.1,0.2,0.5,0.3,3,0.431870440642039,0.460705296198527,0.9287862499554952,0.6971539855003357,0.9515619158744812,0.9137313723564148,0.7489070892333984,0.9431694149971008,-0.001899701162862281,1.0133113463719685,188154,70.05491219996475,1973,240,..\models\autoregressive\candidates\candidate_009.pt,..\models\autoregressive\candidates\candidate_009_scaler.joblib,..\models\autoregressive\histories\candidate_009.csv
13,gru_256_128,20,0.0005,"[256, 128]",0.2,0.2,0.5,0.3,3,0.43301782409350076,0.4578858733177185,0.9285656849543253,0.7093948046366374,0.9507163286209106,0.9137206236521404,0.7562158346176148,0.9468579332033793,-0.001655130146536976,0.9932554960250854,408954,149.40590790007263,1973,240,..\models\autoregressive\candidates\candidate_013.pt,..\models\autoregressive\candidates\candidate_013_scaler.joblib,..\models\autoregressive\histories\candidate_013.csv
8,gru_128_128,10,0.0005,"[128, 128]",0.1,0.2,0.5,0.3,3,0.4331533352533976,0.4610555370648702,0.9286611874898275,0.7008921941121419,0.9506667256355286,0.9142482360204061,0.7556010842323303,0.9456284364064534,-0.0005709761443237464,0.9983472029368082,188154,14.654382499982603,2023,240,..\models\autoregressive\candidates\candidate_008.pt,..\models\autoregressive\candidates\candidate_008_scaler.joblib,..\models\autoregressive\histories\candidate_008.csv
10,gru_128_128,40,0.0005,"[128, 128]",0.1,0.2,0.5,0.3,3,0.4342260201772054,0.46201344529787697,0.9288895805676778,0.7037452777226766,0.9518844008445739,0.9133994221687317,0.7559426148732503,0.9442622900009155,0.003956961755951245,0.9982327103614808,188154,194.23776759998873,1873,240,..\models\autoregressive\candidates\candidate_010.pt,..\models\autoregressive\candidates\candidate_010_scaler.joblib,..\models\autoregressive\histories\candidate_010.csv
14,gru_256_128,40,0.0005,"[256, 128]",0.2,0.2,0.5,0.3,3,0.43526583115259804,0.45914987126986184,0.9299519737561543,0.7169933239618937,0.9541803598403931,0.9128218491872152,0.7469262440999349,0.9424180467923482,-0.005240359669551253,1.0157583475112915,408954,295.26946509990375,1873,240,..\models\autoregressive\candidates\candidate_014.pt,..\models\autoregressive\candidates\candidate_014_scaler.joblib,..\models\autoregressive\histories\candidate_014.csv
7,gru_128,60,0.0005,[128],0.0,0.2,0.5,0.3,7,0.43565706809361776,0.4591042876243591,0.9319264610608419,0.7252360701560974,0.9527564366658529,0.9179859121640523,0.7552595734596252,0.946926212310791,-0.0032819100345174474,0.9930243134498596,89082,55.227438399917446,1773,240,..\models\autoregressive\candidates\candidate_007.pt,..\models\autoregressive\candidates\candidate_007_scaler.joblib,..\models\autoregressive\histories\candidate_007.csv
6,gru_128,40,0.0005,[128],0.0,0.2,0.5,0.3,6,0.43687150279680886,0.46300539970397947,0.9311458985010783,0.7259530266125996,0.9558370232582092,0.9132946014404297,0.7491120139757792,0.9451502760251363,-0.0003739044846345981,1.0078872521718343,89082,45.088445400004275,1873,240,..\models\autoregressive\candidates\candidate_006.pt,..\models\autoregressive\candidates\candidate_006_scaler.joblib,..\models\autoregressive\histories\candidate_006.csv
