candidate_id,architecture,context_length,learning_rate,weight_decay,hidden_dims,dropout,prediction_horizon,n_parameters,best_epoch,val_selection_score,val_total_nll,val_market_nll,val_sector_nll,val_idio_nll,n_train,n_validation,training_seconds,market_weight,sector_weight,idio_weight,checkpoint,scaler_path,history_path
9,gru_32_16_reg,20,0.0001,0.02,"[32, 16]",0.5,5,21890,119,0.42740788630076815,0.45441695622035433,0.2941745732511793,0.47160190769604277,0.44257340686661856,1953,224,43.517080900026485,0.2,0.5,0.3,..\models\autoregressive\multihorizon_5d\checkpoints\candidate_009.pt,..\models\autoregressive\multihorizon_5d\checkpoints\candidate_009_scaler.joblib,..\models\autoregressive\multihorizon_5d\histories\candidate_009.csv
10,gru_32_16_reg,40,0.0001,0.02,"[32, 16]",0.5,5,21890,145,0.42795085481234957,0.45363556912967135,0.2994572860854013,0.47168136068752836,0.4407290646008083,1853,224,81.6248678000411,0.2,0.5,0.3,..\models\autoregressive\multihorizon_5d\checkpoints\candidate_010.pt,..\models\autoregressive\multihorizon_5d\checkpoints\candidate_010_scaler.joblib,..\models\autoregressive\multihorizon_5d\histories\candidate_010.csv
7,gru_32_reg,40,0.0002,0.02,[32],0.45,5,29250,70,0.4341257299695696,0.4575608585562025,0.31641017539160593,0.47447846617017475,0.4453481691224234,1853,224,29.91460629994981,0.2,0.5,0.3,..\models\autoregressive\multihorizon_5d\checkpoints\candidate_007.pt,..\models\autoregressive\multihorizon_5d\checkpoints\candidate_007_scaler.joblib,..\models\autoregressive\multihorizon_5d\histories\candidate_007.csv
1,gru_8_reg,40,0.0003,0.005,[8],0.25,5,7194,100,0.43659487792423796,0.45734176891190664,0.3328902678830283,0.4718360347407205,0.44699597358703613,1853,224,31.459331699996255,0.2,0.5,0.3,..\models\autoregressive\multihorizon_5d\checkpoints\candidate_001.pt,..\models\autoregressive\multihorizon_5d\checkpoints\candidate_001_scaler.joblib,..\models\autoregressive\multihorizon_5d\histories\candidate_001.csv
8,gru_32_reg,60,0.0002,0.02,[32],0.45,5,29250,61,0.4369868380682809,0.4597352317401341,0.3228813707828522,0.4760040981428964,0.44802830474717276,1753,224,36.75657530000899,0.2,0.5,0.3,..\models\autoregressive\multihorizon_5d\checkpoints\candidate_008.pt,..\models\autoregressive\multihorizon_5d\checkpoints\candidate_008_scaler.joblib,..\models\autoregressive\multihorizon_5d\histories\candidate_008.csv
6,gru_32_reg,20,0.0002,0.02,[32],0.45,5,29250,49,0.4375271797180176,0.45945529426847187,0.3265849735055651,0.47604178530829294,0.44729752625737873,1953,224,16.223899099975824,0.2,0.5,0.3,..\models\autoregressive\multihorizon_5d\checkpoints\candidate_006.pt,..\models\autoregressive\multihorizon_5d\checkpoints\candidate_006_scaler.joblib,..\models\autoregressive\multihorizon_5d\histories\candidate_006.csv
5,gru_16_reg,60,0.0002,0.01,[16],0.35,5,14162,92,0.4382119263921465,0.4601014767374311,0.33041838875838686,0.47385269829205107,0.4506729968956539,1753,224,36.869233199977316,0.2,0.5,0.3,..\models\autoregressive\multihorizon_5d\checkpoints\candidate_005.pt,..\models\autoregressive\multihorizon_5d\checkpoints\candidate_005_scaler.joblib,..\models\autoregressive\multihorizon_5d\histories\candidate_005.csv
11,gru_32_16_reg,60,0.0001,0.02,"[32, 16]",0.5,5,21890,100,0.4402785045760019,0.4633123619215829,0.3237248297248568,0.48075139096805025,0.45052608847618103,1753,224,83.70796000002883,0.2,0.5,0.3,..\models\autoregressive\multihorizon_5d\checkpoints\candidate_011.pt,..\models\autoregressive\multihorizon_5d\checkpoints\candidate_011_scaler.joblib,..\models\autoregressive\multihorizon_5d\histories\candidate_011.csv
3,gru_16_reg,20,0.0002,0.01,[16],0.35,5,14162,85,0.4412484807627542,0.4625383104596819,0.338674076965877,0.47376016633851187,0.4554452044623239,1953,224,18.794262900017202,0.2,0.5,0.3,..\models\autoregressive\multihorizon_5d\checkpoints\candidate_003.pt,..\models\autoregressive\multihorizon_5d\checkpoints\candidate_003_scaler.joblib,..\models\autoregressive\multihorizon_5d\histories\candidate_003.csv
2,gru_8_reg,60,0.0003,0.005,[8],0.25,5,7194,117,0.44133397936820984,0.4645561831338065,0.3235364556312561,0.4824142072881971,0.45139861958367483,1753,224,43.83744919998571,0.2,0.5,0.3,..\models\autoregressive\multihorizon_5d\checkpoints\candidate_002.pt,..\models\autoregressive\multihorizon_5d\checkpoints\candidate_002_scaler.joblib,..\models\autoregressive\multihorizon_5d\histories\candidate_002.csv
0,gru_8_reg,20,0.0003,0.005,[8],0.25,5,7194,114,0.4426308274269104,0.46195556010518757,0.34062102862766813,0.48059981635638643,0.44735567910330637,1953,224,27.52454640006181,0.2,0.5,0.3,..\models\autoregressive\multihorizon_5d\checkpoints\candidate_000.pt,..\models\autoregressive\multihorizon_5d\checkpoints\candidate_000_scaler.joblib,..\models\autoregressive\multihorizon_5d\histories\candidate_000.csv
4,gru_16_reg,40,0.0002,0.01,[16],0.35,5,14162,74,0.4461499197142465,0.46660629766327993,0.33998348883220125,0.48461571761540007,0.45281786152294706,1853,224,25.847447699983604,0.2,0.5,0.3,..\models\autoregressive\multihorizon_5d\checkpoints\candidate_004.pt,..\models\autoregressive\multihorizon_5d\checkpoints\candidate_004_scaler.joblib,..\models\autoregressive\multihorizon_5d\histories\candidate_004.csv
